scientific_name,synonyms,common_name,family,genus,growth_habit,duration,native_status,height_mature_ft,leaf_retention,flower_color,bloom_period,drought_tolerance,shade_tolerance,lifespan,usda_symbol,catalog_source
Abies ×shastensis,Abies magnifica var. shastensis; Abies magnifica ssp. shastensis; Abies magnifica var. critchfieldii,Shasta red fir,Pinaceae,Abies,Tree,Perennial,L48(N),180,Yes,Brown,Mid Spring,Low,Intermediate,Long,ABMAS,USDA PLANTS (public domain)
Abies procera,Abies nobilis,noble fir,Pinaceae,Abies,Tree,Perennial,L48(N),230,Yes,,Late Spring,Low,Intermediate,Long,ABPR,USDA PLANTS (public domain)
Abroma augusta,Abroma augustum; Ambroma augusta; Ambroma augustum,devil's-cotton,Sterculiaceae,Abroma,Shrub,Perennial,L48(N),,,,,,,,ABAU3,USDA PLANTS (public domain)
Abutilon lignosum,Abutilon jacquinii; Abutilon americanum; Abutilon abutiloides,shrubby Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N)PR(N)VI(I),,,,,,,,ABAB,USDA PLANTS (public domain)
Abutilon auritum,,Asian Indian mallow,Malvaceae,Abutilon,"Subshrub, Shrub",Perennial,HI(I),,,,,,,,ABAU,USDA PLANTS (public domain)
Abutilon berlandieri,Abutilon californicum,Berlandier's Indian mallow,Malvaceae,Abutilon,Shrub,Perennial,L48(N),,,,,,,,ABBE,USDA PLANTS (public domain)
Abutilon eremitopetalum,,hiddenpetal Indian mallow,Malvaceae,Abutilon,Shrub,Perennial,HI(N),,,,,,,,ABER,USDA PLANTS (public domain)
Abutilon texense,Abutilon fruticosum,Texas Indian mallow,Malvaceae,Abutilon,Subshrub,Perennial,L48(N),,,,,,,,ABFR3,USDA PLANTS (public domain)
Abutilon grandifolium,,hairy Indian mallow,Malvaceae,Abutilon,Shrub,Perennial,L48(I)HI(I),,,,,,,,ABGR3,USDA PLANTS (public domain)
Abutilon hirtum,,Florida Keys Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(I)PR(I)VI(I),,,,,,,,ABHI,USDA PLANTS (public domain)
Abutilon hulseanum,Abutilon commutatum; Abutilon pauciflorum,mauve,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N)PR(N),,,,,,,,ABHU,USDA PLANTS (public domain)
Abutilon hypoleucum,,whiteleaf Indian mallow,Malvaceae,Abutilon,"Shrub, Subshrub",Perennial,L48(N),,,,,,,,ABHY,USDA PLANTS (public domain)
Abutilon incanum,Abutilon pringlei; Abutilon incanum ssp. incanum; Abutilon incanum ssp. pringlei,pelotazo,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N)HI(N),,,,,,,,ABIN,USDA PLANTS (public domain)
Abutilon indicum,,monkeybush,Malvaceae,Abutilon,"Subshrub, Shrub",Perennial,L48(I)HI(I)PR(N)VI(N),,,,,,,,ABIN3,USDA PLANTS (public domain)
Abutilon indicum ssp. albescens,Abutilon asiaticum var. albescens,,Malvaceae,Abutilon,Subshrub,Perennial,L48(N),,,,,,,,ABINA,USDA PLANTS (public domain)
Abutilon malacum,,yellow Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,ABMA3,USDA PLANTS (public domain)
Abutilon menziesii,,ko'oloa 'ula,Malvaceae,Abutilon,Shrub,Perennial,HI(N),,,,,,,,ABME2,USDA PLANTS (public domain)
Abutilon sonorae,Abutilon mollicomum,Sonoran Indian mallow,Malvaceae,Abutilon,"Shrub, Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,ABMO2,USDA PLANTS (public domain)
Abutilon palmeri,,Palmer's Indian mallow,Malvaceae,Abutilon,"Shrub, Subshrub",Perennial,L48(N),,,,,,,,ABPA,USDA PLANTS (public domain)
Abutilon parishii,,Parish's Indian mallow,Malvaceae,Abutilon,"Shrub, Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,ABPA2,USDA PLANTS (public domain)
Abutilon parvulum,,dwarf Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,ABPA3,USDA PLANTS (public domain)
Abutilon permolle,,coastal Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N)PR(N),,,,,,,,ABPE,USDA PLANTS (public domain)
Abutilon reventum,,yellowflower Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,ABRE,USDA PLANTS (public domain)
Abutilon sandwicense,Abutilon sandwicense var. welchii; Abortopetalum sandwicense,greenflower Indian mallow,Malvaceae,Abutilon,Shrub,Perennial,HI(N),,,,,,,,ABSA2,USDA PLANTS (public domain)
Abutilon thurberi,,Thurber's Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,ABTH2,USDA PLANTS (public domain)
Abutilon triquetrum,Abutilon trisulcatum,anglestem Indian mallow,Malvaceae,Abutilon,"Shrub, Subshrub",Perennial,L48(N),,,,,,,,ABTR,USDA PLANTS (public domain)
Abutilon wrightii,,Wright's Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,ABWR,USDA PLANTS (public domain)
Acacia ×emoryana,Senegalia ×emoryana berlandieri × greggii,Emory's acacia,Fabaceae,Acacia,"Shrub, Tree",Perennial,L48(N),,,,,,,,"ACEM,SEEM3",USDA PLANTS (public domain)
Acacia anegadensis,Vachellia anegadensis,blackbrush wattle,Fabaceae,Acacia,Tree,Perennial,,,,,,,,,"ACAN4,VAAN6",USDA PLANTS (public domain)
Acacia aneura,,mulga,Fabaceae,Acacia,"Tree, Shrub",Perennial,HI(I),,,,,,,,ACAN10,USDA PLANTS (public domain)
Acacia angustissima,Acaciella angustissima,prairie acacia,Fabaceae,Acacia,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,"ACAN,ACAN11",USDA PLANTS (public domain)
Acacia angustissima var. chisosiana,Acaciella angustissima var. chisosiana,Chisos prairie acacia,Fabaceae,Acacia,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,"ACANC,ACANC3",USDA PLANTS (public domain)
Acacia hirta,Acacia texensis; Acacia cuspidata; Acacia angustissima var. hirta; Acacia angustissima var. texensis; Acacia angustissima var. cuspidata; Acaciella hirta; Acaciella angustissima var. hirta; Acaciella angustissima var. texensis,prairie acacia,Fabaceae,Acacia,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,"ACANH,ACANH2",USDA PLANTS (public domain)
Acacia angustissima var. leucothrix,Acaciella leucothrix,whitehair acacia,Fabaceae,Acacia,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,"ACANL,ACLE10",USDA PLANTS (public domain)
Acacia lemmonii,Acacia hirta ssp. lemmonii; Acacia angustissima var. shrevei; Acaciella shrevei,Shreve's prairie acacia,Fabaceae,Acacia,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,"ACANS,ACSH2",USDA PLANTS (public domain)
Acacia angustissima var. suffrutescens,Acaciella suffrutescens,prairie acacia,Fabaceae,Acacia,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,"ACANS2,ACSU12",USDA PLANTS (public domain)
Acacia auriculiformis,,earleaf acacia,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),,,,,,,,ACAU,USDA PLANTS (public domain)
Acacia baileyana,,cootamundra wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),,,,,,,,ACBA,USDA PLANTS (public domain)
Acacia berlandieri,Senegalia berlandieri,guajillo,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),,,,,,,,"ACBE,SEBE2",USDA PLANTS (public domain)
Acacia choriophylla,Vachellia choriophylla,cinnecord,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),,,,,,,,"ACCH,VACH3",USDA PLANTS (public domain)
Acacia confusa,,small Philippine acacia,Fabaceae,Acacia,Tree,Perennial,L48(I)HI(I),,,,,,,,ACCO,USDA PLANTS (public domain)
Acacia constricta,Acacia constricta var. constricta; Acacia constricta var. paucispina; Vachellia constricta,whitethorn acacia,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),9.0,No,Yellow,Late Spring,High,Intolerant,Moderate,"ACCO2,VACO9,ACCOC,ACCOP9",USDA PLANTS (public domain)
Acacia cornigera,Vachellia cornigera,bullhorn wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),,,,,,,,"ACCO5,VACO10",USDA PLANTS (public domain)
Acacia cyclops,,coastal wattle,Fabaceae,Acacia,Shrub,Perennial,L48(I),12,Yes,Yellow,Mid Spring,High,Intolerant,Short,ACCY2,USDA PLANTS (public domain)
Acacia dealbata,Acacia decurrens var. dealbata,silver wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),,,,,,,,ACDE3,USDA PLANTS (public domain)
Acacia decurrens,Mimosa decurrens,green wattle,Fabaceae,Acacia,Tree,Perennial,L48(I),,,,,,,,ACDE,USDA PLANTS (public domain)
Acacia elata,,cedar wattle,Fabaceae,Acacia,Tree,Perennial,L48(I),,,,,,,,ACEL,USDA PLANTS (public domain)
Acacia minuta,Acacia smallii; Acacia farnesiana; Acacia minuta ssp. densiflora; Acacia farnesiana var. farnesiana; Mimosa farnesiana; Vachellia farnesiana; Vachellia densiflora; Pithecellobium minutum,sweet acacia,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N)HI(I)PR(N)VI(N),,,,,,,,"ACFA,VAFA",USDA PLANTS (public domain)
Acacia greggii,Acacia greggii var. greggii; Acacia greggii var. arizonica; Senegalia greggii,catclaw acacia,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),20,No,Yellow,Mid Spring,High,Intolerant,Long,"ACGR,SEGR4,ACGRG3",USDA PLANTS (public domain)
Acacia wrightii,Acacia greggii var. wrightii; Senegalia wrightii,catclaw acacia,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),,,,,,,,"ACGRW,SEWR4",USDA PLANTS (public domain)
Acacia koa,Acacia kauaiensis; Acacia koa var. waimeae; Acacia koa var. lanaiensis; Acacia koa var. hawaiiensis,koa,Fabaceae,Acacia,Tree,Perennial,HI(N),110,Yes,Yellow,Spring,Medium,Intolerant,Long,ACKO,USDA PLANTS (public domain)
Acacia koaia,,koaoha,Fabaceae,Acacia,Tree,Perennial,HI(N),40,Yes,Yellow,Early Spring,Low,Intolerant,Long,ACKO2,USDA PLANTS (public domain)
Acacia latifolia,Acacia longifolia,Sydney golden wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),20,Yes,Yellow,Summer,High,Intolerant,Short,ACLO,USDA PLANTS (public domain)
Acacia macracantha,Vachellia macracantha,porknut,Fabaceae,Acacia,Tree,Perennial,L48(N)PR(N)VI(N),,,,,,,,"ACMA,VAMA4",USDA PLANTS (public domain)
Acacia mearnsii,Acacia decurrens var. mollis,black wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I)HI(I),,,,,,,,ACME80,USDA PLANTS (public domain)
Acacia melanoxylon,,blackwood,Fabaceae,Acacia,Tree,Perennial,L48(I)HI(I),40,Yes,White,Early Spring,High,Intolerant,Short,ACME,USDA PLANTS (public domain)
Acacia millefolia,Mariosousa millefolia,milfoil wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),,,,,,,,"ACMI,MAMI9",USDA PLANTS (public domain)
Acacia muricata,Mimosa muricata; Senegalia muricata,spineless wattle,Fabaceae,Acacia,Tree,Perennial,PR(N)VI(N),,,,,,,,"ACMU,SEMU4",USDA PLANTS (public domain)
Acacia vernicosa,Acacia neovernicosa; Acacia constricta var. vernicosa; Vachellia vernicosa; Acaciopsis vernicosa,viscid acacia,Fabaceae,Acacia,Shrub,Perennial,L48(N),,,,,,,,"ACNE4,VAVE",USDA PLANTS (public domain)
Acacia arabica,Acacia nilotica; Mimosa nilotica; Vachellia nilotica,gum arabic tree,Fabaceae,Acacia,"Tree, Shrub",Perennial,PR(I)VI(I),,,,,,,,"ACNI2,VANI4",USDA PLANTS (public domain)
Acacia armata,Acacia paradoxa,paradox acacia,Fabaceae,Acacia,Shrub,Perennial,L48(I),,,,,,,,ACPA8,USDA PLANTS (public domain)
Acacia parramattensis,,South Wales wattle,Fabaceae,Acacia,Tree,Perennial,HI(I),,,,,,,,ACPA81,USDA PLANTS (public domain)
Acacia pinetorum,Vachellia insularis; Vachellia peninsularis; Vachellia farnesiana var. pinetorum,pineland wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),,,,,,,,"ACPI,VAFAP",USDA PLANTS (public domain)
Acacia podalyriifolia,,pearl wattle,Fabaceae,Acacia,Tree,Perennial,L48(I),,,,,,,,ACPO2,USDA PLANTS (public domain)
Acacia suma,Acacia polyacantha; Senegalia polyacantha,catechu tree,Fabaceae,Acacia,"Tree, Shrub",Perennial,PR(I)VI(I),,,,,,,,"ACPO3,SEPO3",USDA PLANTS (public domain)
Acacia pycnantha,,golden wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),,,,,,,,ACPY3,USDA PLANTS (public domain)
Acacia redolens,,bank catclaw,Fabaceae,Acacia,Shrub,Perennial,L48(I),,,,,,,,ACRE9,USDA PLANTS (public domain)
Acacia retinodes,,water wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),,,,,,,,ACRE2,USDA PLANTS (public domain)
Acacia retusa,Acacia riparia; Acacia westiana; Senegalia westiana,catch and keep,Fabaceae,Acacia,"Tree, Shrub, Vine",Perennial,PR(N)VI(N),,,,,,,,"ACRE4,SEWE4",USDA PLANTS (public domain)
Acacia rigidula,Acacia amentacea; Vachellia rigidula,blackbrush acacia,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),,,,,,,,"ACRI,VARI",USDA PLANTS (public domain)
Acacia roemeriana,Acacia malacophylla; Senegalia roemeriana,roundflower catclaw,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),,,,,,,,"ACRO,SERO",USDA PLANTS (public domain)
Acacia saligna,Acacia cyanophylla,orange wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),,,,,,,,ACSA,USDA PLANTS (public domain)
Acacia schaffneri,Acacia schaffneri var. schaffneri; Vachellia schaffneri,Schaffner's wattle,Fabaceae,Acacia,Shrub,Perennial,,,,,,,,,"ACSC2,VASC4,ACSCS2",USDA PLANTS (public domain)
Acacia schaffneri var. bravoensis,Vachellia bravoensis,Schaffner's wattle,Fabaceae,Acacia,Shrub,Perennial,L48(N),,,,,,,,"ACSCB,VABR4",USDA PLANTS (public domain)
Acacia schottii,Vachellia schottii,Schott's wattle,Fabaceae,Acacia,Shrub,Perennial,L48(N),,,,,,,,"ACSC,VASC5",USDA PLANTS (public domain)
Acacia sphaerocephala,Vachellia sphaerocephala,bee wattle,Fabaceae,Acacia,Tree,Perennial,L48(I),,,,,,,,"ACSP4,VASP2",USDA PLANTS (public domain)
Acacia tortuosa,Mimosa tortuosa; Poponax tortuosa; Vachellia tortuosa,poponax,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N)PR(N)VI(N),,,,,,,,"ACTO,VATO2",USDA PLANTS (public domain)
Acacia verticillata,,prickly Moses,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),,,,,,,,ACVE2,USDA PLANTS (public domain)
Acacia vogeliana,Lysiloma ambiguum; Senegalia vogeliana,macata bourse bastard,Fabaceae,Acacia,"Shrub, Tree, Vine",Perennial,PR(N)VI(N),,,,,,,,"ACVO,SEVO2",USDA PLANTS (public domain)
Acalypha amentacea,,catch me if you can,Euphorbiaceae,Acalypha,Shrub,Perennial,L48(I),,,,,,,,ACAM2,USDA PLANTS (public domain)
Acalypha wilkesiana,Acalypha amentacea ssp. wilkesiana,Wilkes' acalypha,Euphorbiaceae,Acalypha,Shrub,Perennial,L48(I)PR(I),,,,,,,,"ACAMW,ACWI",USDA PLANTS (public domain)
Acalypha amentacea var. heterotricha,,,Euphorbiaceae,Acalypha,Shrub,Perennial,L48(N),,,,,,,,ACAMH,USDA PLANTS (public domain)
Acalypha amentacea var. palauensis,,,Euphorbiaceae,Acalypha,Shrub,Perennial,L48(N),,,,,,,,ACAMP2,USDA PLANTS (public domain)
Acalypha berteriana,,Guayama Copperleaf,Euphorbiaceae,Acalypha,Shrub,Perennial,PR(N),,,,,,,,ACBE2,USDA PLANTS (public domain)
Acalypha bisetosa,,streambank copperleaf,Euphorbiaceae,Acalypha,Shrub,Perennial,PR(N),,,,,,,,ACBI3,USDA PLANTS (public domain)
Acalypha pringlei,Acalypha californica,California copperleaf,Euphorbiaceae,Acalypha,"Shrub, Subshrub",Perennial,L48(N),,,,,,,,ACCA3,USDA PLANTS (public domain)
Acalypha chamaedryfolia,,bastard copperleaf,Euphorbiaceae,Acalypha,"Subshrub, Forb/herb",Perennial,L48(N)PR(N)VI(N),,,,,,,,ACCH2,USDA PLANTS (public domain)
Acalypha hispida,,red-hot cat's tail,Euphorbiaceae,Acalypha,Shrub,Perennial,L48(I)PR(I),,,,,,,,ACHI2,USDA PLANTS (public domain)
Acalypha hederacea,Acalypha monostachya,round copperleaf,Euphorbiaceae,Acalypha,"Subshrub, Forb/herb",Perennial,L48(N),,,,,,,,ACMO,USDA PLANTS (public domain)
Acalypha phleoides,Acalypha lindheimeri; Acalypha lindheimeri var. major,shrubby copperleaf,Euphorbiaceae,Acalypha,"Forb/herb, Subshrub",Perennial,L48(N),,,,,,,,ACPH3,USDA PLANTS (public domain)
Acalypha portoricensis,,Puerto Rico copperleaf,Euphorbiaceae,Acalypha,Shrub,Perennial,PR(N)VI(N),,,,,,,,ACPO4,USDA PLANTS (public domain)
Acamptopappus shockleyi,,Shockley's goldenhead,Asteraceae,Acamptopappus,Subshrub,Perennial,L48(N),,,,,,,,ACSH,USDA PLANTS (public domain)
Acamptopappus sphaerocephalus,,rayless goldenhead,Asteraceae,Acamptopappus,"Subshrub, Shrub",Perennial,L48(N),,,,,,,,ACSP,USDA PLANTS (public domain)
Acamptopappus sphaerocephalus var. hirtellus,,rayless goldenhead,Asteraceae,Acamptopappus,"Subshrub, Shrub",Perennial,L48(N),,,,,,,,ACSPH,USDA PLANTS (public domain)
Acamptopappus sphaerocephalus var. sphaerocephalus,Aplopappus sphaerocephalus,rayless goldenhead,Asteraceae,Acamptopappus,"Subshrub, Shrub",Perennial,L48(N),,,,,,,,ACSPS2,USDA PLANTS (public domain)
Acanthocereus tetragonus,Acanthocereus floridanus; Acanthocereus pentagonus; Cactus tetragonus; Cereus pentagonus,triangle cactus,Cactaceae,Acanthocereus,"Shrub, Vine",Perennial,L48(N)HI(I)VI(N),,,,,,,,ACTE4,USDA PLANTS (public domain)
Acanthus ebracteatus,Acanthus ilicifolius var. ebracteatus,acanthus,Acanthaceae,Acanthus,"Shrub, Forb/herb",Perennial,L48(N),,,,,,,,ACEB3,USDA PLANTS (public domain)
Acer ×freemanii,,Freeman maple,Aceraceae,Acer,Tree,Perennial,L48(N)CAN(N),,,,,,,,ACFR,USDA PLANTS (public domain)
Acer campestre,,hedge maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(I)CAN(I),,,,,,,,ACCA5,USDA PLANTS (public domain)
Acer circinatum,,vine maple,Aceraceae,Acer,"Tree, Shrub, Vine",Perennial,L48(N)AK(N?)CAN(N),20,No,Green,Spring,Low,Tolerant,Long,ACCI,USDA PLANTS (public domain)
Acer rubrum,Acer barbatum; Acer floridanum; Acer barbatum var. longii; Acer barbatum var. villipes; Acer floridanum var. longii; Acer nigrum var. floridanum; Acer floridanum var. villipes; Acer saccharum ssp. floridanum; Acer saccharum var. floridanum; Acer saccharinum var. floridanum; Saccharodendron barbatum; Saccharodendron floridanum,southern sugar maple,Aceraceae,Acer,Tree,Perennial,L48(N),50,No,Yellow,Mid Spring,Low,Tolerant,Moderate,"ACFL,ACRU",USDA PLANTS (public domain)
Acer ginnala,Acer tataricum ssp. ginnala,Amur maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(I)CAN(I),20,No,White,Mid Spring,Low,Intermediate,Moderate,ACGI,USDA PLANTS (public domain)
Acer glabrum,,Rocky Mountain maple,Aceraceae,Acer,"Shrub, Tree",Perennial,L48(N)AK(I?)CAN(N),30,No,Green,Late Spring,Medium,Intermediate,Moderate,ACGL,USDA PLANTS (public domain)
Acer diffusum,Acer glabrum var. diffusum; Acer glabrum ssp. diffusum,Rocky Mountain maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(N),,,,,,,,ACGLD3,USDA PLANTS (public domain)
Acer douglasii,Acer glabrum var. douglasii; Acer glabrum ssp. douglasii,Douglas maple,Aceraceae,Acer,"Shrub, Tree",Perennial,L48(N)AK(I?)CAN(N),30,No,Green,Late Spring,Low,Tolerant,Moderate,ACGLD4,USDA PLANTS (public domain)
Acer tripartitum,Acer glabrum var. glabrum; Acer glabrum var. typicum; Acer glabrum var. tripartitum,Rocky Mountain maple,Aceraceae,Acer,"Shrub, Tree",Perennial,L48(N),,,,,,,,ACGLG2,USDA PLANTS (public domain)
Acer glabrum var. greenei,,Greene's maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(N),,,,,,,,ACGLG,USDA PLANTS (public domain)
Acer neomexicanum,Acer glabrum var. parviflorum; Acer glabrum var. neomexicanum; Acer glabrum ssp. neomexicanum,New Mexico maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(N),,,,,,,,ACGLN2,USDA PLANTS (public domain)
Acer torreyi,Acer glabrum var. torreyi; Acer glabrum ssp. torreyi,Torrey maple,Aceraceae,Acer,"Shrub, Tree",Perennial,L48(N),,,,,,,,ACGLT2,USDA PLANTS (public domain)
Acer grandidentatum,,bigtooth maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(N),38,No,Yellow,Spring,Low,Intermediate,Short,ACGR3,USDA PLANTS (public domain)
Acer saccharum ssp. grandidentatum,Acer saccharum var. grandidentatum; Acer grandidentatum var. grandidentatum; Saccharodendron grandidentatum,bigtooth maple,Aceraceae,Acer,"Shrub, Tree",Perennial,L48(N),,,,,,,,ACGRG,USDA PLANTS (public domain)
Acer sinuosum,Acer brachypterum; Acer saccharum var. sinuosum; Acer saccharum ssp. brachypterum; Acer grandidentatum var. sinuosum; Acer grandidentatum var. brachypterum,canyon maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(N),,,,,,,,ACGRS,USDA PLANTS (public domain)
Acer japonicum,,Amur maple,Aceraceae,Acer,Tree,Perennial,CAN(I)NA(I),,,,,,,,ACJA2,USDA PLANTS (public domain)
Acer leucoderme,Acer nigrum var. leucoderme; Acer saccharum ssp. leucoderme; Acer saccharum var. leucoderme; Saccharodendron leucoderme,chalk maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(N),,,,,,,,ACLE,USDA PLANTS (public domain)
Acer ×senecaense,Acer leucoderme × saccharum,hybrid sugar maple,Aceraceae,Acer,Tree,Perennial,,,,,,,,,ACLE2,USDA PLANTS (public domain)
Acer macrophyllum,,bigleaf maple,Aceraceae,Acer,Tree,Perennial,L48(N)CAN(N),60,No,Yellow,Mid Spring,Low,Intermediate,Moderate,ACMA3,USDA PLANTS (public domain)
Acer negundo,,boxelder,Aceraceae,Acer,Tree,Perennial,L48(N)CAN(N),60,No,White,Early Spring,High,Tolerant,Short,ACNE2,USDA PLANTS (public domain)
Acer negundo var. arizonicum,,Arizona boxelder,Aceraceae,Acer,Tree,Perennial,L48(N),,,,,,,,ACNEA,USDA PLANTS (public domain)
